url_path,views_total,views_unique
/microsoft/power-platform-skills,1288,763
/microsoft/power-platform-skills/tree/main/plugins,260,154
/microsoft/power-platform-skills/tree/main,241,125
/microsoft/power-platform-skills/tree/main/plugins/model-apps,224,126
/microsoft/power-platform-skills/tree/main/plugins/power-pages,153,88
/microsoft/power-platform-skills/tree/main/.claude,100,86
/microsoft/power-platform-skills/blob/main/AGENTS.md,86,72
/microsoft/power-platform-skills/tree/main/.claude-plugin,85,63
/microsoft/power-platform-skills/blob/main/CLAUDE.md,84,50
/microsoft/power-platform-skills/blob/main/plugins/model-apps/README.md,81,63
