url_path,views_total,views_unique
/microsoft/power-platform-skills,1155,716
/microsoft/power-platform-skills/tree/main/plugins,230,150
/microsoft/power-platform-skills/tree/main/plugins/model-apps,211,120
/microsoft/power-platform-skills/tree/main,205,96
/microsoft/power-platform-skills/tree/main/plugins/power-pages,130,78
/microsoft/power-platform-skills/tree/main/.claude,86,72
/microsoft/power-platform-skills/blob/main/plugins/model-apps/README.md,74,60
/microsoft/power-platform-skills/tree/main/.claude-plugin,74,54
/microsoft/power-platform-skills/blob/main/AGENTS.md,68,54
/microsoft/power-platform-skills/blob/main/CLAUDE.md,60,37
