url_path,views_total,views_unique
/microsoft/power-platform-skills,1612,1018
/microsoft/power-platform-skills/tree/main,545,344
/microsoft/power-platform-skills/tree/main/plugins,333,194
/microsoft/power-platform-skills/tree/main/plugins/model-apps,189,120
/microsoft/power-platform-skills/tree/main/plugins/code-apps,143,87
/microsoft/power-platform-skills/pulls,132,44
/microsoft/power-platform-skills/tree/main/plugins/power-pages,127,82
/microsoft/power-platform-skills/blob/main/CLAUDE.md,120,65
/microsoft/power-platform-skills/tree/main/plugins/power-apps,100,54
/microsoft/power-platform-skills/tree/main/.claude,98,85
