url_path,views_total,views_unique
/microsoft/power-platform-skills,1342,893
/microsoft/power-platform-skills/tree/main/plugins,204,143
/microsoft/power-platform-skills/tree/main,125,62
/microsoft/power-platform-skills/tree/main/plugins/model-apps,117,82
/microsoft/power-platform-skills/tree/main/plugins/power-pages,90,64
/microsoft/power-platform-skills/tree/main/.claude,66,57
/microsoft/power-platform-skills/tree/main/.claude-plugin,53,40
/microsoft/power-platform-skills/tree/main/plugins/power-apps,51,38
/microsoft/power-platform-skills/blob/main/README.md,51,37
/microsoft/power-platform-skills/pulls,51,25
