url_path,views_total,views_unique
/microsoft/power-platform-skills,2850,1709
/microsoft/power-platform-skills/tree/main/plugins/canvas-apps,1605,992
/microsoft/power-platform-skills/tree/main/plugins,563,333
/microsoft/power-platform-skills/tree/main,554,316
/microsoft/power-platform-skills/tree/main/plugins/code-apps,329,200
/microsoft/power-platform-skills/blob/main/plugins/canvas-apps/AGENTS.md,287,182
/microsoft/power-platform-skills/tree/main/plugins/model-apps,231,148
/microsoft/power-platform-skills/tree/main/plugins/canvas-apps/skills,182,126
/microsoft/power-platform-skills/blob/main/plugins/code-apps/AGENTS.md,147,120
/microsoft/power-platform-skills/blob/main/README.md,138,101
