url_path,views_total,views_unique
/microsoft/power-platform-skills,185,57
/microsoft/power-platform-claude-plugins,104,35
/microsoft/power-platform-skills/pulls,62,11
/microsoft/power-platform-skills/tree/main/plugins,45,22
/microsoft/power-platform-skills/tree/main/plugins/power-pages,30,12
/microsoft/power-platform-skills/tree/main/plugins/power-apps,26,15
/microsoft/power-platform-claude-plugins/tree/main/plugins/power-pages,24,11
/microsoft/power-platform-skills/blob/main/plugins/power-apps/skills/genpage/SKILL.md,23,9
/microsoft/power-platform-skills/tree/main,22,10
/microsoft/power-platform-skills/pull/13,22,4
