referrer,views_total,views_unique
github.com,347,64
statics.teams.cdn.office.net,179,24
Google,138,49
linkedin.com,41,14
Bing,23,9
com.linkedin.android,16,6
chatgpt.com,9,1
DuckDuckGo,8,2
akalinkmanager.trafficmanager.net,2,1
search.brave.com,2,1
