url_path,views_total,views_unique
/microsoft/power-platform-skills,3866,2248
/microsoft/power-platform-skills/tree/main/plugins/canvas-apps,1863,1162
/microsoft/power-platform-skills/tree/main,838,494
/microsoft/power-platform-skills/tree/main/plugins,782,456
/microsoft/power-platform-skills/blob/main/plugins/canvas-apps/AGENTS.md,435,301
/microsoft/power-platform-skills/tree/main/plugins/code-apps,402,236
/microsoft/power-platform-skills/tree/main/plugins/model-apps,290,172
/microsoft/power-platform-skills/tree/main/plugins/canvas-apps/skills,278,187
/microsoft/power-platform-skills/blob/main/plugins/code-apps/AGENTS.md,228,174
/microsoft/power-platform-skills/issues,218,122
