url_path,views_total,views_unique
/microsoft/power-platform-skills,1750,1108
/microsoft/power-platform-skills/tree/main,580,369
/microsoft/power-platform-skills/tree/main/plugins,368,214
/microsoft/power-platform-skills/tree/main/plugins/model-apps,190,121
/microsoft/power-platform-skills/tree/main/plugins/code-apps,167,105
/microsoft/power-platform-skills/pulls,137,46
/microsoft/power-platform-skills/tree/main/plugins/canvas-apps,133,81
/microsoft/power-platform-skills/tree/main/plugins/power-pages,127,85
/microsoft/power-platform-skills/blob/main/CLAUDE.md,125,67
/microsoft/power-platform-skills/tree/main/.claude,100,85
