url_path,views_total,views_unique
/microsoft/power-platform-skills,1075,704
/microsoft/power-platform-skills/tree/main/plugins,188,135
/microsoft/power-platform-skills/tree/main/plugins/model-apps,185,107
/microsoft/power-platform-skills/tree/main,178,80
/microsoft/power-platform-skills/tree/main/plugins/power-pages,102,67
/microsoft/power-platform-skills/tree/main/.claude,68,56
/microsoft/power-platform-skills/blob/main/AGENTS.md,52,43
/microsoft/power-platform-skills/blob/main/plugins/model-apps/README.md,51,43
/microsoft/power-platform-skills/tree/main/.claude-plugin,50,34
/microsoft/power-platform-skills/blob/main/CLAUDE.md,48,28
