url_path,views_total,views_unique
/microsoft/power-platform-skills,1317,869
/microsoft/power-platform-skills/tree/main/plugins,206,142
/microsoft/power-platform-skills/tree/main,112,57
/microsoft/power-platform-skills/tree/main/plugins/model-apps,109,76
/microsoft/power-platform-skills/tree/main/plugins/power-pages,88,63
/microsoft/power-platform-skills/tree/main/.claude,60,54
/microsoft/power-platform-skills/tree/main/plugins/power-apps,55,41
/microsoft/power-platform-skills/tree/main/.claude-plugin,53,40
/microsoft/power-platform-skills/pulls,53,24
/microsoft/power-platform-skills/blob/main/README.md,51,37
