url_path,views_total,views_unique
/microsoft/power-platform-skills,1480,983
/microsoft/power-platform-skills/tree/main/plugins,237,165
/microsoft/power-platform-skills/tree/main,178,84
/microsoft/power-platform-skills/tree/main/plugins/model-apps,170,110
/microsoft/power-platform-skills/tree/main/plugins/power-pages,106,79
/microsoft/power-platform-skills/tree/main/.claude,76,65
/microsoft/power-platform-skills/blob/main/AGENTS.md,54,44
/microsoft/power-platform-skills/tree/main/.claude-plugin,54,41
/microsoft/power-platform-skills/blob/main/CLAUDE.md,53,32
/microsoft/power-platform-skills/blob/main/plugins/model-apps/README.md,52,36
