url_path,views_total,views_unique
/microsoft/power-platform-skills,1062,660
/microsoft/power-platform-skills/tree/main/plugins/model-apps,198,109
/microsoft/power-platform-skills/tree/main/plugins,197,132
/microsoft/power-platform-skills/tree/main,190,85
/microsoft/power-platform-skills/tree/main/plugins/power-pages,113,70
/microsoft/power-platform-skills/tree/main/.claude,71,57
/microsoft/power-platform-skills/blob/main/plugins/model-apps/README.md,61,50
/microsoft/power-platform-skills/blob/main/CLAUDE.md,58,33
/microsoft/power-platform-skills/blob/main/AGENTS.md,57,47
/microsoft/power-platform-skills/tree/main/.claude-plugin,53,37
