referrer,views_total,views_unique
Google,2498,628
linkedin.com,1453,597
github.com,1210,246
statics.teams.cdn.office.net,1047,341
Bing,829,176
com.linkedin.android,421,255
learn.microsoft.com,287,59
skills.sh,90,12
lnkd.in,57,23
DuckDuckGo,46,11
