referrer,views_total,views_unique
Google,2183,548
statics.teams.cdn.office.net,860,226
Bing,786,154
github.com,653,169
linkedin.com,556,224
com.linkedin.android,226,121
learn.microsoft.com,99,21
skills.sh,45,7
DuckDuckGo,35,10
lnkd.in,26,10
