url_path,views_total,views_unique
/microsoft/power-platform-skills,1863,1184
/microsoft/power-platform-skills/tree/main,633,402
/microsoft/power-platform-skills/tree/main/plugins,417,235
/microsoft/power-platform-skills/tree/main/plugins/canvas-apps,268,163
/microsoft/power-platform-skills/tree/main/plugins/code-apps,202,124
/microsoft/power-platform-skills/tree/main/plugins/model-apps,177,118
/microsoft/power-platform-skills/pulls,131,48
/microsoft/power-platform-skills/blob/main/CLAUDE.md,122,68
/microsoft/power-platform-skills/tree/main/plugins/power-pages,111,73
/microsoft/power-platform-skills/blob/main/README.md,101,76
