url_path,views_total,views_unique
/microsoft/power-platform-skills,1293,776
/microsoft/power-platform-skills/tree/main/plugins,257,160
/microsoft/power-platform-skills/tree/main/plugins/model-apps,227,128
/microsoft/power-platform-skills/tree/main,197,97
/microsoft/power-platform-skills/tree/main/plugins/power-pages,152,91
/microsoft/power-platform-skills/tree/main/.claude,98,85
/microsoft/power-platform-skills/blob/main/CLAUDE.md,88,52
/microsoft/power-platform-skills/blob/main/AGENTS.md,85,72
/microsoft/power-platform-skills/blob/main/plugins/model-apps/README.md,79,60
/microsoft/power-platform-skills/tree/main/.claude-plugin,78,58
