url_path,views_total,views_unique
/microsoft/power-platform-skills,1189,727
/microsoft/power-platform-skills/tree/main/plugins,204,126
/microsoft/power-platform-skills/pulls,107,26
/microsoft/power-platform-skills/tree/main/plugins/power-pages,84,53
/microsoft/power-platform-skills/tree/main,84,44
/microsoft/power-platform-skills/tree/main/plugins/power-apps,81,54
/microsoft/power-platform-skills/tree/main/plugins/model-apps,65,47
/microsoft/power-platform-skills/blob/main/README.md,61,35
/microsoft/power-platform-skills/tree/main/.claude,53,48
/microsoft/power-platform-skills/tree/main/.claude-plugin,53,33
