referrer,views_total,views_unique
Google,3033,733
github.com,1600,353
linkedin.com,1519,674
statics.teams.cdn.office.net,1137,403
learn.microsoft.com,953,165
Bing,776,203
com.linkedin.android,400,253
skills.sh,97,15
forwardforever.com,72,22
timopertila.com,59,27
