time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-23 00:00:00+00:00,214,62,189,54
2026-02-24 00:00:00+00:00,117,53,274,74
2026-02-25 00:00:00+00:00,122,60,939,322
2026-02-26 00:00:00+00:00,165,71,503,168
2026-02-27 00:00:00+00:00,99,59,243,107
2026-02-28 00:00:00+00:00,84,32,154,54
2026-03-01 00:00:00+00:00,37,27,50,30
2026-03-02 00:00:00+00:00,60,48,230,76
2026-03-03 00:00:00+00:00,87,38,155,56
2026-03-04 00:00:00+00:00,32,29,208,59
2026-03-05 00:00:00+00:00,124,61,295,68
2026-03-06 00:00:00+00:00,136,52,182,75
2026-03-07 00:00:00+00:00,81,43,63,26
2026-03-08 00:00:00+00:00,70,40,135,40
