url_path,views_total,views_unique
/microsoft/power-platform-skills,1457,887
/microsoft/power-platform-skills/tree/main,444,262
/microsoft/power-platform-skills/tree/main/plugins,314,187
/microsoft/power-platform-skills/tree/main/plugins/model-apps,214,132
/microsoft/power-platform-skills/tree/main/plugins/power-pages,149,88
/microsoft/power-platform-skills/blob/main/CLAUDE.md,109,64
/microsoft/power-platform-skills/tree/main/.claude,102,90
/microsoft/power-platform-skills/tree/main/plugins/power-apps,100,54
/microsoft/power-platform-skills/tree/main/.claude-plugin,97,78
/microsoft/power-platform-skills/blob/main/plugins/model-apps/README.md,95,70
