url_path,views_total,views_unique
/microsoft/power-platform-skills,3405,1990
/microsoft/power-platform-skills/tree/main/plugins/canvas-apps,2090,1295
/microsoft/power-platform-skills/tree/main,748,439
/microsoft/power-platform-skills/tree/main/plugins,682,413
/microsoft/power-platform-skills/blob/main/plugins/canvas-apps/AGENTS.md,396,271
/microsoft/power-platform-skills/tree/main/plugins/code-apps,355,219
/microsoft/power-platform-skills/tree/main/plugins/model-apps,290,166
/microsoft/power-platform-skills/tree/main/plugins/canvas-apps/skills,255,176
/microsoft/power-platform-skills/blob/main/README.md,177,127
/microsoft/power-platform-skills/issues,170,92
