time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-01 00:00:00+00:00,549,220,899,218
2026-04-02 00:00:00+00:00,544,174,801,202
2026-04-03 00:00:00+00:00,322,130,1210,338
2026-04-04 00:00:00+00:00,126,61,298,140
2026-04-05 00:00:00+00:00,131,60,230,94
2026-04-06 00:00:00+00:00,315,128,711,194
2026-04-07 00:00:00+00:00,259,147,1643,592
2026-04-08 00:00:00+00:00,523,192,1439,473
2026-04-09 00:00:00+00:00,291,178,1483,441
2026-04-10 00:00:00+00:00,379,188,1118,342
2026-04-11 00:00:00+00:00,104,54,370,115
2026-04-12 00:00:00+00:00,160,74,285,120
2026-04-13 00:00:00+00:00,435,280,1289,330
2026-04-14 00:00:00+00:00,489,334,1471,423
