url_path,views_total,views_unique
/microsoft/power-platform-skills,2265,1416
/microsoft/power-platform-skills/tree/main,687,431
/microsoft/power-platform-skills/tree/main/plugins,465,258
/microsoft/power-platform-skills/tree/main/plugins/canvas-apps,374,222
/microsoft/power-platform-skills/tree/main/plugins/code-apps,247,149
/microsoft/power-platform-skills/tree/main/plugins/model-apps,183,120
/microsoft/power-platform-skills/pulls,138,50
/microsoft/power-platform-skills/blob/main/README.md,126,93
/microsoft/power-platform-skills/blob/main/CLAUDE.md,120,69
/microsoft/power-platform-skills/blob/main/plugins/code-apps/AGENTS.md,114,82
