url_path,views_total,views_unique
/microsoft/power-platform-skills,239,91
/microsoft/power-platform-claude-plugins,100,34
/microsoft/power-platform-skills/pulls,72,14
/microsoft/power-platform-skills/tree/main/plugins,56,29
/microsoft/power-platform-skills/tree/main/plugins/power-apps,35,21
/microsoft/power-platform-skills/tree/main/plugins/power-pages,33,15
/microsoft/power-platform-skills/tree/main,29,12
/microsoft/power-platform-skills/blob/main/plugins/power-apps/skills/genpage/SKILL.md,28,13
/microsoft/power-platform-skills/pull/13,22,4
/microsoft/power-platform-skills/blob/main/README.md,21,9
