url_path,views_total,views_unique
/microsoft/power-platform-skills,1325,867
/microsoft/power-platform-skills/tree/main/plugins,210,142
/microsoft/power-platform-skills/tree/main,108,56
/microsoft/power-platform-skills/tree/main/plugins/model-apps,104,72
/microsoft/power-platform-skills/tree/main/plugins/power-pages,85,63
/microsoft/power-platform-skills/pulls,67,26
/microsoft/power-platform-skills/tree/main/plugins/power-apps,65,47
/microsoft/power-platform-skills/tree/main/.claude,60,55
/microsoft/power-platform-skills/tree/main/.claude-plugin,53,40
/microsoft/power-platform-skills/blob/main/README.md,52,36
