url_path,views_total,views_unique
/microsoft/power-platform-skills,2290,1410
/microsoft/power-platform-skills/tree/main,642,402
/microsoft/power-platform-skills/tree/main/plugins,470,268
/microsoft/power-platform-skills/tree/main/plugins/canvas-apps,450,260
/microsoft/power-platform-skills/tree/main/plugins/code-apps,256,156
/microsoft/power-platform-skills/tree/main/plugins/model-apps,198,128
/microsoft/power-platform-skills/pulls,145,51
/microsoft/power-platform-skills/blob/main/README.md,131,96
/microsoft/power-platform-skills/blob/main/plugins/canvas-apps/AGENTS.md,128,77
/microsoft/power-platform-skills/blob/main/plugins/code-apps/AGENTS.md,121,87
