url_path,views_total,views_unique
/microsoft/power-platform-skills,1298,806
/microsoft/power-platform-skills/tree/main/plugins,218,139
/microsoft/power-platform-skills/pulls,109,30
/microsoft/power-platform-skills/tree/main,93,48
/microsoft/power-platform-skills/tree/main/plugins/power-pages,91,57
/microsoft/power-platform-skills/tree/main/plugins/model-apps,84,62
/microsoft/power-platform-skills/tree/main/plugins/power-apps,81,54
/microsoft/power-platform-skills/blob/main/README.md,64,37
/microsoft/power-platform-skills/tree/main/.claude-plugin,59,37
/microsoft/power-platform-skills/tree/main/.claude,57,52
