url_path,views_total,views_unique
/microsoft/power-platform-skills,3379,1983
/microsoft/power-platform-skills/tree/main/plugins/canvas-apps,2117,1311
/microsoft/power-platform-skills/tree/main,762,439
/microsoft/power-platform-skills/tree/main/plugins,706,423
/microsoft/power-platform-skills/blob/main/plugins/canvas-apps/AGENTS.md,396,270
/microsoft/power-platform-skills/tree/main/plugins/code-apps,367,219
/microsoft/power-platform-skills/tree/main/plugins/model-apps,290,167
/microsoft/power-platform-skills/tree/main/plugins/canvas-apps/skills,255,177
/microsoft/power-platform-skills/blob/main/plugins/code-apps/AGENTS.md,176,136
/microsoft/power-platform-skills/blob/main/README.md,176,126
