referrer,views_total,views_unique
Google,771,334
github.com,362,75
statics.teams.cdn.office.net,218,44
linkedin.com,105,47
Bing,68,16
com.linkedin.android,67,26
DuckDuckGo,9,3
chatgpt.com,9,1
learn.microsoft.com,5,2
search.brave.com,4,3
