url_path,views_total,views_unique
/microsoft/power-platform-skills,1111,695
/microsoft/power-platform-skills/tree/main/plugins,221,143
/microsoft/power-platform-skills/tree/main/plugins/model-apps,206,114
/microsoft/power-platform-skills/tree/main,198,92
/microsoft/power-platform-skills/tree/main/plugins/power-pages,129,79
/microsoft/power-platform-skills/tree/main/.claude,79,65
/microsoft/power-platform-skills/blob/main/plugins/model-apps/README.md,70,58
/microsoft/power-platform-skills/blob/main/AGENTS.md,65,52
/microsoft/power-platform-skills/blob/main/CLAUDE.md,62,38
/microsoft/power-platform-skills/tree/main/.claude-plugin,61,45
