url_path,views_total,views_unique
/microsoft/power-platform-skills,2219,1396
/microsoft/power-platform-skills/tree/main,685,428
/microsoft/power-platform-skills/tree/main/plugins,463,257
/microsoft/power-platform-skills/tree/main/plugins/canvas-apps,361,212
/microsoft/power-platform-skills/tree/main/plugins/code-apps,238,144
/microsoft/power-platform-skills/tree/main/plugins/model-apps,185,120
/microsoft/power-platform-skills/pulls,133,48
/microsoft/power-platform-skills/blob/main/README.md,126,92
/microsoft/power-platform-skills/blob/main/CLAUDE.md,122,69
/microsoft/power-platform-skills/blob/main/plugins/code-apps/AGENTS.md,112,80
