referrer,views_total,views_unique
Google,2591,645
linkedin.com,1497,608
github.com,1317,285
statics.teams.cdn.office.net,1057,356
Bing,800,170
learn.microsoft.com,426,89
com.linkedin.android,383,247
skills.sh,107,16
lnkd.in,63,25
forwardforever.com,54,16
