url_path,views_total,views_unique
/microsoft/power-platform-skills,3050,1862
/microsoft/power-platform-skills/tree/main/plugins/canvas-apps,1769,1071
/microsoft/power-platform-skills/tree/main,652,375
/microsoft/power-platform-skills/tree/main/plugins,627,375
/microsoft/power-platform-skills/blob/main/plugins/canvas-apps/AGENTS.md,346,227
/microsoft/power-platform-skills/tree/main/plugins/code-apps,342,206
/microsoft/power-platform-skills/tree/main/plugins/model-apps,257,155
/microsoft/power-platform-skills/tree/main/plugins/canvas-apps/skills,212,147
/microsoft/power-platform-skills/blob/main/README.md,169,120
/microsoft/power-platform-skills/blob/main/plugins/code-apps/AGENTS.md,156,126
