referrer,views_total,views_unique
Google,2494,616
linkedin.com,1396,575
github.com,968,216
statics.teams.cdn.office.net,953,313
Bing,801,169
com.linkedin.android,402,240
learn.microsoft.com,280,54
skills.sh,88,10
lnkd.in,56,22
DuckDuckGo,46,11
