url_path,views_total,views_unique
/microsoft/power-platform-skills,1355,896
/microsoft/power-platform-skills/tree/main/plugins,205,146
/microsoft/power-platform-skills/tree/main,123,63
/microsoft/power-platform-skills/tree/main/plugins/model-apps,121,85
/microsoft/power-platform-skills/tree/main/plugins/power-pages,89,63
/microsoft/power-platform-skills/tree/main/.claude,65,56
/microsoft/power-platform-skills/tree/main/.claude-plugin,52,40
/microsoft/power-platform-skills/blob/main/README.md,51,37
/microsoft/power-platform-skills/blob/main/CLAUDE.md,48,29
/microsoft/power-platform-skills/tree/main/plugins/power-apps,46,36
