referrer,views_total,views_unique
Google,2226,563
statics.teams.cdn.office.net,867,227
Bing,783,154
github.com,665,174
linkedin.com,611,247
com.linkedin.android,250,135
learn.microsoft.com,95,23
skills.sh,49,8
DuckDuckGo,35,10
lnkd.in,26,10
