url_path,views_total,views_unique
/microsoft/power-platform-skills,2852,1707
/microsoft/power-platform-skills/tree/main/plugins/canvas-apps,1567,967
/microsoft/power-platform-skills/tree/main,596,352
/microsoft/power-platform-skills/tree/main/plugins,575,334
/microsoft/power-platform-skills/tree/main/plugins/code-apps,337,205
/microsoft/power-platform-skills/blob/main/plugins/canvas-apps/AGENTS.md,279,176
/microsoft/power-platform-skills/tree/main/plugins/model-apps,237,149
/microsoft/power-platform-skills/tree/main/plugins/canvas-apps/skills,178,123
/microsoft/power-platform-skills/blob/main/plugins/code-apps/AGENTS.md,152,121
/microsoft/power-platform-skills/blob/main/README.md,141,101
