url_path,views_total,views_unique
/microsoft/power-platform-skills,1161,767
/microsoft/power-platform-skills/tree/main/plugins,197,137
/microsoft/power-platform-skills/tree/main/plugins/model-apps,189,113
/microsoft/power-platform-skills/tree/main,175,84
/microsoft/power-platform-skills/tree/main/plugins/power-pages,104,67
/microsoft/power-platform-skills/tree/main/.claude,65,54
/microsoft/power-platform-skills/blob/main/plugins/model-apps/README.md,54,38
/microsoft/power-platform-skills/tree/main/.claude-plugin,53,39
/microsoft/power-platform-skills/blob/main/AGENTS.md,52,41
/microsoft/power-platform-skills/tree/main/scripts,48,41
