url_path,views_total,views_unique
/microsoft/power-platform-skills,2505,1522
/microsoft/power-platform-skills/tree/main/plugins/canvas-apps,1215,785
/microsoft/power-platform-skills/tree/main,584,353
/microsoft/power-platform-skills/tree/main/plugins,501,293
/microsoft/power-platform-skills/tree/main/plugins/code-apps,322,198
/microsoft/power-platform-skills/tree/main/plugins/model-apps,206,139
/microsoft/power-platform-skills/blob/main/plugins/canvas-apps/AGENTS.md,194,118
/microsoft/power-platform-skills/pulls,140,53
/microsoft/power-platform-skills/tree/main/plugins/canvas-apps/skills,138,98
/microsoft/power-platform-skills/blob/main/plugins/code-apps/AGENTS.md,131,99
