url_path,views_total,views_unique
/microsoft/power-platform-skills,2683,1630
/microsoft/power-platform-skills/tree/main/plugins/canvas-apps,1386,887
/microsoft/power-platform-skills/tree/main,580,349
/microsoft/power-platform-skills/tree/main/plugins,542,319
/microsoft/power-platform-skills/tree/main/plugins/code-apps,338,200
/microsoft/power-platform-skills/blob/main/plugins/canvas-apps/AGENTS.md,243,155
/microsoft/power-platform-skills/tree/main/plugins/model-apps,228,147
/microsoft/power-platform-skills/tree/main/plugins/canvas-apps/skills,154,112
/microsoft/power-platform-skills/blob/main/plugins/code-apps/AGENTS.md,152,114
/microsoft/power-platform-skills/pulls,150,56
