url_path,views_total,views_unique
/microsoft/power-platform-skills,1289,779
/microsoft/power-platform-skills/tree/main/plugins,258,161
/microsoft/power-platform-skills/tree/main/plugins/model-apps,230,128
/microsoft/power-platform-skills/tree/main,208,96
/microsoft/power-platform-skills/tree/main/plugins/power-pages,149,89
/microsoft/power-platform-skills/tree/main/.claude,93,81
/microsoft/power-platform-skills/blob/main/AGENTS.md,85,70
/microsoft/power-platform-skills/blob/main/CLAUDE.md,82,50
/microsoft/power-platform-skills/blob/main/plugins/model-apps/README.md,78,60
/microsoft/power-platform-skills/tree/main/.claude-plugin,77,57
