url_path,views_total,views_unique
/microsoft/power-platform-skills,4122,2393
/microsoft/power-platform-skills/tree/main/plugins/canvas-apps,1711,1048
/microsoft/power-platform-skills/tree/main,848,479
/microsoft/power-platform-skills/tree/main/plugins,839,484
/microsoft/power-platform-skills/blob/main/plugins/canvas-apps/AGENTS.md,430,306
/microsoft/power-platform-skills/tree/main/plugins/code-apps,415,243
/microsoft/power-platform-skills/tree/main/plugins/model-apps,294,168
/microsoft/power-platform-skills/tree/main/plugins/canvas-apps/skills,282,188
/microsoft/power-platform-skills/blob/main/plugins/code-apps/AGENTS.md,261,192
/microsoft/power-platform-skills/issues,230,123
