url_path,views_total,views_unique
/microsoft/power-platform-skills,2122,1339
/microsoft/power-platform-skills/tree/main,683,428
/microsoft/power-platform-skills/tree/main/plugins,470,263
/microsoft/power-platform-skills/tree/main/plugins/canvas-apps,340,201
/microsoft/power-platform-skills/tree/main/plugins/code-apps,233,140
/microsoft/power-platform-skills/tree/main/plugins/model-apps,189,123
/microsoft/power-platform-skills/pulls,137,50
/microsoft/power-platform-skills/blob/main/CLAUDE.md,124,70
/microsoft/power-platform-skills/blob/main/README.md,123,90
/microsoft/power-platform-skills/blob/main/plugins/code-apps/AGENTS.md,111,80
