referrer,views_total,views_unique
Google,3082,785
github.com,1773,400
linkedin.com,1414,625
statics.teams.cdn.office.net,1130,402
learn.microsoft.com,1128,197
Bing,768,228
com.linkedin.android,331,223
aidevme.com,164,4
skills.sh,93,16
forwardforever.com,86,29
