time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-07 00:00:00+00:00,259,147,1643,592
2026-04-08 00:00:00+00:00,523,192,1439,473
2026-04-09 00:00:00+00:00,291,178,1483,441
2026-04-10 00:00:00+00:00,379,188,1118,342
2026-04-11 00:00:00+00:00,104,54,370,115
2026-04-12 00:00:00+00:00,160,74,285,120
2026-04-13 00:00:00+00:00,435,280,1289,330
2026-04-14 00:00:00+00:00,489,334,1471,423
2026-04-15 00:00:00+00:00,656,361,1560,435
2026-04-16 00:00:00+00:00,541,313,1565,498
2026-04-17 00:00:00+00:00,689,365,1377,398
2026-04-18 00:00:00+00:00,245,147,499,141
2026-04-19 00:00:00+00:00,208,133,477,174
2026-04-20 00:00:00+00:00,1214,430,1499,489
