url_path,views_total,views_unique
/microsoft/power-platform-skills,1014,619
/microsoft/power-platform-skills/tree/main/plugins,180,108
/microsoft/power-platform-skills/pulls,100,20
/microsoft/power-platform-skills/tree/main/plugins/power-apps,81,54
/microsoft/power-platform-skills/tree/main,79,41
/microsoft/power-platform-skills/tree/main/plugins/power-pages,74,46
/microsoft/power-platform-skills/blob/main/README.md,56,29
/microsoft/power-platform-skills/blob/main/plugins/power-apps/skills/genpage/SKILL.md,50,27
/microsoft/power-platform-skills/tree/main/.claude-plugin,47,28
/microsoft/power-platform-skills/tree/main/.claude,45,40
