url_path,views_total,views_unique
/microsoft/power-platform-skills,403,190
/microsoft/power-platform-skills/pulls,91,18
/microsoft/power-platform-skills/tree/main/plugins,79,47
/microsoft/power-platform-skills/tree/main/plugins/power-apps,51,32
/microsoft/power-platform-skills/tree/main/plugins/power-pages,41,20
/microsoft/power-platform-skills/tree/main,39,18
/microsoft/power-platform-skills/blob/main/README.md,34,17
/microsoft/power-platform-skills/blob/main/plugins/power-apps/skills/genpage/SKILL.md,33,17
/microsoft/power-platform-skills/tree/main/.claude-plugin,28,13
/microsoft/power-platform-skills/pull/28,27,5
