url_path,views_total,views_unique
/microsoft/power-platform-skills,221,79
/microsoft/power-platform-claude-plugins,101,34
/microsoft/power-platform-skills/pulls,67,13
/microsoft/power-platform-skills/tree/main/plugins,52,27
/microsoft/power-platform-skills/tree/main/plugins/power-pages,31,13
/microsoft/power-platform-skills/tree/main/plugins/power-apps,30,19
/microsoft/power-platform-skills/blob/main/plugins/power-apps/skills/genpage/SKILL.md,26,11
/microsoft/power-platform-skills/tree/main,24,11
/microsoft/power-platform-skills/pull/13,22,4
/microsoft/power-platform-claude-plugins/tree/main/plugins/power-pages,20,10
